CUSTOMER_ID,GENDER,AGE,HOUSEHOLD_INCOME,YEARS_AS_CUSTOMER,CUSTOMER_SUBSCRIPTION_COUNT,CUSTOMER_REVENUE,CUSTOMER_HASHCODE
28304,F,19,"$44,000 ",0,7,$105 ,0
34165,F,19,"$44,000 ",0,8,$120 ,0
34295,M,19,"$12,000 ",0,5,$125 ,0
36941,F,19,"$44,000 ",0,5,$125 ,0
38718,M,19,"$24,000 ",0,3,$75 ,0
40911,F,18,"$22,000 ",0,4,$100 ,0
42399,F,19,"$77,000 ",0,12,$180 ,0
46796,M,19,"$24,000 ",0,5,$125 ,0
47597,F,19,"$22,000 ",0,3,$75 ,0
47796,F,19,"$22,000 ",0,7,$175 ,0
60666,M,18,"$12,000 ",0,1,$60 ,0
60870,M,19,"$12,000 ",0,2,$120 ,0
63604,M,18,"$12,000 ",0,1,$60 ,0
64147,F,19,"$11,000 ",0,1,$60 ,0
65827,F,19,"$66,000 ",0,7,$175 ,0
70829,F,19,"$66,000 ",0,11,$165 ,0
71260,M,19,"$12,000 ",0,1,$60 ,0
71515,M,19,"$48,000 ",0,6,$150 ,0
73266,F,19,"$11,000 ",0,1,$60 ,0
76234,M,19,"$36,000 ",0,3,$75 ,0
77382,M,19,"$48,000 ",0,4,$100 ,0
78408,F,19,"$11,000 ",0,1,$60 ,0
79496,F,18,"$11,000 ",0,2,$50 ,0
79859,M,19,"$24,000 ",0,3,$75 ,0
79914,F,19,"$22,000 ",0,2,$50 ,0
82117,M,18,"$12,000 ",0,1,$60 ,0
82945,F,19,"$44,000 ",0,11,$165 ,0
83659,F,19,"$11,000 ",0,3,$75 ,0
84282,M,19,"$24,000 ",0,2,$120 ,0
84424,M,19,"$12,000 ",0,1,$60 ,0
85525,F,18,"$11,000 ",0,1,$60 ,0
87653,F,19,"$22,000 ",0,4,$100 ,0
88285,F,18,"$44,000 ",0,4,$100 ,0
88493,F,18,"$11,000 ",0,4,$100 ,0
89603,F,19,"$44,000 ",0,6,$150 ,0
90191,F,19,"$33,000 ",0,5,$125 ,0
90851,F,18,"$22,000 ",0,4,$100 ,0
91291,F,19,"$22,000 ",0,2,$120 ,0
92560,F,19,"$11,000 ",0,5,$125 ,0
98282,F,19,"$44,000 ",0,9,$135 ,0
100978,F,18,"$11,000 ",0,1,$60 ,0
101296,M,19,"$12,000 ",0,1,$60 ,0
102082,M,19,"$12,000 ",0,2,$120 ,0
105235,M,19,"$72,000 ",0,7,$105 ,0
106526,M,19,"$48,000 ",0,5,$125 ,0
108006,F,18,"$11,000 ",0,2,$120 ,0
109466,F,19,"$33,000 ",0,6,$150 ,0
110609,F,19,"$22,000 ",0,7,$105 ,0
